message,attributes,tags,timestamp
"100.64.0.3 - - [12/Jan/2026:20:46:19 +0000] ""GET /static/js/dist/mobile.bundle.js HTTP/1.1"" 200 0 ""https://web-production-0e103.up.railway.app/"" ""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.7499.169 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:46:24.766943189Z
Not Found: /favicon.ico,"{""level"":""error""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:46:24.766947623Z
"2026-01-12 20:46:19,866 - django.request - WARNING - Not Found: /favicon.ico","{""level"":""error""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:46:24.766951989Z
"100.64.0.4 - - [12/Jan/2026:20:46:19 +0000] ""GET /favicon.ico HTTP/1.1"" 404 3085 ""-"" ""Googlebot-Image/1.0""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:46:24.766956062Z
1:M 12 Jan 2026 20:47:18.942 * 1 changes in 60 seconds. Saving...,"{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""063b1138-690d-4144-8440-e4ceacd04a8d"",""deployment"":""34587b1f-ba54-436e-b4dd-8e80f6b84697"",""replica"":""92d5c3d1-70be-4691-a817-f1c4efcafe1b""}",2026-01-12T20:47:25.792169663Z
1:M 12 Jan 2026 20:47:18.943 * Background saving started by pid 2587,"{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""063b1138-690d-4144-8440-e4ceacd04a8d"",""deployment"":""34587b1f-ba54-436e-b4dd-8e80f6b84697"",""replica"":""92d5c3d1-70be-4691-a817-f1c4efcafe1b""}",2026-01-12T20:47:25.792176615Z
2587:C 12 Jan 2026 20:47:18.993 * DB saved on disk,"{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""063b1138-690d-4144-8440-e4ceacd04a8d"",""deployment"":""34587b1f-ba54-436e-b4dd-8e80f6b84697"",""replica"":""92d5c3d1-70be-4691-a817-f1c4efcafe1b""}",2026-01-12T20:47:25.792183869Z
"2587:C 12 Jan 2026 20:47:18.994 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""063b1138-690d-4144-8440-e4ceacd04a8d"",""deployment"":""34587b1f-ba54-436e-b4dd-8e80f6b84697"",""replica"":""92d5c3d1-70be-4691-a817-f1c4efcafe1b""}",2026-01-12T20:47:25.792199963Z
1:M 12 Jan 2026 20:47:19.044 * Background saving terminated with success,"{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""063b1138-690d-4144-8440-e4ceacd04a8d"",""deployment"":""34587b1f-ba54-436e-b4dd-8e80f6b84697"",""replica"":""92d5c3d1-70be-4691-a817-f1c4efcafe1b""}",2026-01-12T20:47:25.792207959Z
"100.64.0.8 - - [12/Jan/2026:20:48:18 +0000] ""GET /scraper/status/58ff478b-8a83-4b2d-a2e3-005ba567dca9/ HTTP/1.1"" 200 199 ""https://web-production-0e103.up.railway.app/scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:26.465488790Z
